Score: -217.27017, Count: 1
Score: -217.29283, Count: 1
Score: -217.3018, Count: 1
Score: -217.32065, Count: 1
Score: -217.39006, Count: 1
Score: -217.40517, Count: 1
Score: -217.46573, Count: 1
Score: -217.50879, Count: 1
Score: -217.51872, Count: 1
Score: -217.55109, Count: 1
Score: -217.62071, Count: 1
Score: -217.6284, Count: 1
Score: -217.64795, Count: 1
Score: -217.6673, Count: 1
Score: -217.69124, Count: 1
Score: -217.78116, Count: 1
Score: -217.83679, Count: 1
Score: -217.86568, Count: 1
Score: -217.92651, Count: 1
Score: -217.98247, Count: 1
Score: -217.99545, Count: 1
Score: -218.04253, Count: 1
Score: -218.04384, Count: 1
Score: -218.08885, Count: 1
Score: -218.11835, Count: 1
Score: -218.18112, Count: 1
Score: -218.29517, Count: 1
Score: -218.34549, Count: 1
Score: -218.40306, Count: 1
Score: -218.40778, Count: 1
Score: -218.41536, Count: 1
Score: -218.42761, Count: 1
Score: -218.44107, Count: 1
Score: -218.49329, Count: 1
Score: -218.6478, Count: 1
Score: -218.74261, Count: 1
Score: -218.74915, Count: 1
Score: -218.75252, Count: 1
Score: -218.79176, Count: 1
Score: -218.8456, Count: 1
Score: -218.90309, Count: 1
Score: -218.94388, Count: 1
Score: -218.95093, Count: 1
Score: -218.99915, Count: 1
Score: -219.01102, Count: 1
Score: -219.0528, Count: 1
Score: -219.14426, Count: 1
Score: -219.1751, Count: 1
Score: -219.26018, Count: 1
Score: -219.3025, Count: 1
Score: -219.31242, Count: 1
Score: -219.35625, Count: 1
Score: -219.3954, Count: 1
Score: -219.50153, Count: 1
Score: -219.59758, Count: 1
Score: -219.65073, Count: 1
Score: -219.72636, Count: 1
Score: -219.729, Count: 1
Score: -219.76292, Count: 1
Score: -219.76662, Count: 1
Score: -219.76978, Count: 1
Score: -219.86241, Count: 1
