61/47,0,-2,0,0,-1,-6,-5,-2,-3,-4,-4,-3,-6,-1,3,-12,9,-13,2,14,-13,-4,-11,-8,-5
62/47,1,2,4,-5,2,4,-1,1,-6,-8,-10,-2,-3,4,3,-2,4,13,-14,-4,-13,-16,6,-3,13
60/43,0,0,0,-5,2,0,4,1,-8,-2,-5,-5,-4,-12,13,7,-9,-6,5,-12,-6,-6,-16,-14,11
3/13,0,0,4,-5,4,-2,6,1,6,-1,-5,5,6,6,10,1,-4,-10,4,-9,11,-10,5,12,18
-3/16,0,0,2,1,2,6,2,0,3,-1,-7,-5,4,0,-6,-4,13,-8,11,3,4,-8,2,18,11
-4/47,0,2,3,1,2,-6,4,1,-9,5,1,10,0,10,3,3,-1,-1,-13,10,-2,-12,-15,12,6
-4/29,0,2,1,3,-5,1,5,-2,3,-6,-6,-5,-6,12,-8,10,1,-5,14,-4,-14,11,16,6,8
-9/46,0,-3,4,3,-5,-5,6,1,0,-5,10,7,-1,4,6,-10,-3,2,-3,-5,0,-15,-16,-7,6
-19/94,0,-2,1,3,2,4,-3,1,6,-10,3,-8,-5,10,3,-10,0,1,-4,-12,-1,-1,4,-17,7
58/97,1,2,2,-5,-3,2,-6,-2,3,-10,1,-2,2,-6,-6,-4,6,-1,6,-15,-1,-6,-3,-6,4
55/96,0,0,0,-5,0,4,2,-2,6,3,-1,-2,-6,2,-1,4,10,-10,8,14,4,15,-12,0,11
26/27,-1,0,0,1,-2,-7,-5,1,6,4,-5,11,-5,-10,0,0,-7,-2,4,3,0,12,-13,2,-4
28/29,0,-2,3,1,-3,-5,-3,1,-4,-6,8,-2,6,-2,-6,6,5,-8,5,16,11,8,2,0,10
40/29,0,-2,0,-5,-5,-1,-4,1,-4,-6,3,-3,-3,5,-7,6,-4,10,8,2,6,-16,12,1,-12
10,1,2,0,3,6,2,-1,-2,6,10,1,-5,10,-4,4,6,0,-2,-3,-8,-4,-12,10,-13,-7
23/8,0,2,4,1,4,4,2,-2,-7,0,1,2,6,-10,0,3,-7,2,16,4,12,13,12,-17,-6
97/36,0,0,0,1,-2,4,-5,1,3,-10,2,2,-6,1,-1,5,-12,10,-8,0,-11,1,2,6,8
94/35,1,-2,0,-5,-2,-1,-4,-2,0,-4,-1,11,-9,10,-8,3,0,-3,0,6,-4,-8,-3,10,10
46/17,-1,-2,0,1,-3,-5,-2,1,-7,4,1,-1,-7,7,7,-4,10,4,4,-4,-6,-6,1,-1,9
27/10,0,0,0,1,2,-5,4,1,-3,2,3,7,2,8,0,6,4,-5,4,-12,-4,-14,17,1,-14
-39/17,0,0,-2,0,6,-7,-2,-2,6,-2,-5,2,-6,1,12,-11,6,8,12,0,-13,11,2,-14,-10
-19/8,0,2,3,1,6,-1,-3,1,1,2,8,-6,0,10,-6,-2,4,8,8,12,-11,1,-3,18,-14
12/17,0,0,0,-5,-1,1,-2,-2,-8,0,-1,6,6,-1,6,-3,-7,-2,3,5,-9,-12,12,-6,8
19/31,0,2,1,-5,4,-1,2,1,3,-3,2,-2,0,4,6,6,0,8,-2,-15,-2,10,-3,-10,-7
-21/2,0,0,0,1,2,-1,5,1,-3,-2,-5,-2,10,7,1,6,0,-11,5,6,10,-15,3,12,-18
43/32,0,-2,1,1,-5,-5,-3,1,-3,-3,3,-2,-6,-1,0,1,-4,-10,5,-12,-2,5,0,-15,1
45/32,0,0,0,1,6,2,2,1,-3,6,-1,-6,-5,6,0,5,0,8,4,-7,-5,6,-6,-14,9
11/38,0,2,-2,1,0,0,1,-2,-3,-1,6,10,10,9,-1,-10,-11,8,-6,-9,14,-4,0,10,9
9/37,0,0,3,0,4,0,2,-2,-4,-5,8,-8,6,4,13,6,-4,1,6,0,-4,13,-16,-12,8
25/81,0,0,0,0,0,-5,5,1,0,7,4,-6,6,4,-6,0,-11,2,-11,9,-10,0,8,-17,1
12/41,0,0,3,1,4,-6,-4,1,-6,4,-9,-2,6,4,0,0,0,-11,8,8,2,-14,0,-2,3
3/11,0,0,-3,1,-2,-5,-3,1,-8,-3,-1,10,-5,-12,-6,-12,-9,6,-2,-15,7,-15,6,1,13
19/79,0,2,0,1,-3,-6,5,1,6,2,1,2,12,7,12,-3,6,6,4,6,2,-8,-3,-3,-10
2/11,-1,2,3,-5,-2,6,5,-2,-9,4,3,-2,-4,12,1,-7,10,-7,2,15,5,13,-3,-4,-5
-5/22,0,2,0,1,-2,4,3,-2,-3,0,-10,-7,-3,4,11,9,7,-6,8,4,12,5,-11,6,-2
11/37,0,-2,2,1,0,2,5,1,-3,-4,2,-8,4,5,1,-6,-4,-6,5,-15,2,4,-3,0,10
-43/44,0,2,2,3,-2,6,5,1,6,4,3,-2,0,-1,-10,1,-1,-10,5,8,-6,-14,-3,-12,-12
-43/41,0,2,0,0,4,4,-5,-2,0,2,-5,-2,6,-1,-6,6,6,-12,-12,-3,-2,2,0,2,-3
-4/41,0,2,4,-5,4,4,2,1,6,3,3,7,6,4,13,6,13,-10,-6,9,2,8,-3,-1,-6
